ID,gender,agedichotomy,age,income,domlanguagepercent,nondomlanguagepercent,category20,category25,accuprptINTER,ACCUPRPTSOLO,accuprpt,accuinhINTER,ACCUINHSOLO,accuinh,Accudiff,RTPRPTINTER,RTPRPTSOLO,RTprpt,RTINHINTER,RTINTERSOLO,RTinh,RTdiff,EEFQIC,EEFQICINTER,EEFQWM,EEFQWMinter,EEFQFX,EEFQFXINTER,EEFQRG,EEFQRGINTER,EEFQCEF,EEFQCEFINTER,L1Vocab,B1RT,B2RT,RTavgdiff,Zaccuprpt,Zaccuinh,ZRTprpt,ZRTinh,ZEEFQIC,ZEEFQWM,ZEEFQFX,ZEEFQRG,ZEEFQCEF,MAH_1,mah_p,ZSco01,ZSco02,ZSco03,ZSco04,ZSco05,ZSco06,ZSco07,ZSco08,ZSco09,Zgender,Zage,Zincome,Zdomlanguagepercent,Znondomlanguagepercent,Zcategory20,Zcategory25,PRE_1,RES_1,ZPR_1,ZRE_1,PRE_2,RES_2,ZPR_2,ZRE_2,PRE_3,RES_3,ZPR_3,ZRE_3,PRE_4,RES_4,ZPR_4,ZRE_4,PRE_5,RES_5,ZPR_5,ZRE_5,PRE_6,RES_6,ZPR_6,ZRE_6,PRE_7,RES_7,ZPR_7,ZRE_7,PRE_8,RES_8,ZPR_8,ZRE_8,PRE_9,RES_9,ZPR_9,ZRE_9,StdZ01,StdZ02,StdZ03,StdZ04,StdZ05,StdZ06,StdZ07,StdZ08,StdZ09,StdZ10,StdZ11,StdZ12,StdZ13,StdZ14,StdZ15,StdZ16,ZL1Vocab,ZL2Vocab,ZTotalvocabBIL,ZzZz01,ZzZz02,ZzZz03,ZzZz04,ZzZz05,ZzZz06,ZzZz07,ZzZz08,ZzZz09,ZzZz10,ZzZz11,ZzZz12,ZzZz13,ZzZz14,ZzZz15,ZqZq01,ZqZq02,ZqZq03,ZqZq04,ZqZq05,ZqZq06,ZqZq07,ZqZq08,ZqZq09,ZqZq10,ZqZq11,ZqZq12,ZqZq13,ZqZq14,ZqZq15,ZAccudiff,ZRTdiff,COO_1,COO_2,COO_3,COO_4,COO_5,COO_6,COO_7,COO_8,COO_9,COO_10,COO_11,COO_12,COO_13,COO_14,COO_15,COO_16,COO_17,COO_18,COO_19,COO_20,COO_21,COO_22,COO_23,SEP_1,SEP_2,ZRE_10,ZRE_11,COO_24,COO_25
101,1,2.00,23.13,6,99,1,1,1,1.0000,1.0000,1.0000,.8750,.8750,.8750,.13,1735.0000,1735.00,1735.00,2021.0000,2021.00,2021.00,-286.00,3.57142857,3.57142857,4.00000000,4.00000000,4.75000000,4.75000000,6.37500000,6.37500000,4.15000000,4.15000000,264.00,2482.33,1786.75,-695.58,1.11587,1.05683,.01599,.00337,-1.50783,-2.98810,.07326,1.54546,-1.80649,27.11292,.00134,1.11587,1.05683,.01599,.00337,-1.50783,-2.98810,.07326,1.54546,-1.80649,-.94148,1.10006,.02891,1.27570,-1.27570,-1.02526,-.83808,.91832,.08168,.89009,.86578,.72336,.15164,1.45607,.55100,1632.04019,102.95981,-1.40889,.20666,1830.42869,190.57131,-1.23139,.23446,4.70926,-1.13783,-.65597,-1.40895,5.63233,-1.63233,.05765,-3.02942,4.64524,.10476,-.32432,.15660,4.77165,1.60335,.56654,1.44103,4.97344,-.82344,-.32302,-1.77374,1.11587,1.05683,.01599,.00337,-1.50783,-2.98810,.07326,1.54546,-1.80649,-.94148,1.10006,.02891,1.27570,-1.27570,-1.02526,-.83808,1.34032,,,1.11587,1.05683,.01599,.00337,-1.50783,-2.98810,.07326,1.54546,-1.80649,-.94148,1.10006,.02891,-1.27570,-.83808,1.34032,1.11587,1.05683,.01599,.00337,-1.50783,-2.98810,.07326,1.54546,-1.80649,-.94148,1.10006,.02891,-1.27570,-.83808,1.34032,-.67314,.00694,.00036,.01148,.01148,.02112,.00110,.00036,.01148,.02112,.00110,.00253,.01749,.00159,.00032,.01718,.00696,.00101,.00131,.01718,.01718,.01718,.00696,.00101,.00131,.02,.05,.92,.85,.02,.01
102,1,2.00,20.33,6,47,53,2,2,.9583,.9583,.9583,.3750,.3750,.3750,.58,2274.0000,2274.50,2274.50,3812.0000,3812.00,3812.00,-1537.50,5.75000000,5.75000000,5.71428571,5.71428571,5.75000000,5.75000000,3.75000000,3.75000000,5.73913044,5.73913044,999.00,4196.00,3674.00,-522.00,.72899,-.60551,1.13291,2.24218,1.24543,.19566,1.55523,-.74539,1.57631,12.83846,.17005,.72899,-.60551,1.13291,2.24218,1.24543,.19566,1.55523,-.74539,1.57631,-.94148,.04346,.02891,-1.57543,1.57543,.95911,1.17331,.88435,.07395,-.06671,.78380,.45957,-.08457,-.61594,-.30730,1800.15843,474.34157,.70727,.95208,2114.31139,1697.68861,.36758,2.08866,4.92597,.82403,1.32748,1.02037,5.62226,.09203,-.03785,.17080,4.82713,.92287,.53934,1.37947,4.63411,-.88411,-.44366,-.79461,5.10082,.63831,.68934,1.37495,.72899,-.60551,1.13291,2.24218,1.24543,.19566,1.55523,-.74539,1.57631,-.94148,.04346,.02891,-1.57543,1.57543,.95911,1.17331,,,,.72899,-.60551,1.13291,2.24218,1.24543,.19566,1.55523,-.74539,1.57631,-.94148,.04346,.02891,1.57543,1.17331,,.72899,-.60551,1.13291,2.24218,1.24543,.19566,1.55523,-.74539,1.57631,-.94148,.04346,.02891,1.57543,1.17331,,.88811,-1.72009,,,,,,,,,,,,.00720,.05571,.01245,.00191,.01942,.09348,.01245,.01245,.01245,.00191,.01942,.09348,.02,.05,.53,-.84,.01,.01
104,1,2.00,20.96,7,94,6,1,1,.8333,.8333,.8333,.8750,.8750,.8750,-.04,3620.0000,3620.00,3620.00,3185.0000,3005.00,3005.00,615.00,4.87500000,4.87500000,6.00000000,6.00000000,4.87500000,4.87500000,4.87500000,4.87500000,5.21739130,5.21739130,48.00,3524.00,2769.00,-755.00,-.43072,1.05683,3.91850,1.23340,.13961,.72628,.25851,.23640,.46568,17.93548,.03593,-.43072,1.05683,3.91850,1.23340,.13961,.72628,.25851,.23640,.46568,-.94148,.28119,.83843,1.00155,-1.00155,-1.02526,-.83808,.87561,-.04231,-.31302,-.44846,.59001,.28499,.40866,1.03554,1727.80470,1892.19530,-.20347,3.79793,2002.81030,1002.18970,-.26045,1.23299,4.67120,.20380,-1.00432,.25236,5.54012,.45988,-.81612,.85348,4.47623,.39877,-1.12681,.59607,4.63238,.24262,-.45640,.21806,4.87017,.34722,-1.14369,.74794,-.43072,1.05683,3.91850,1.23340,.13961,.72628,.25851,.23640,.46568,-.94148,.28119,.83843,1.00155,-1.00155,-1.02526,-.83808,-.66737,,,-.43072,1.05683,3.91850,1.23340,.13961,.72628,.25851,.23640,.46568,-.94148,.28119,.83843,-1.00155,-.83808,-.66737,-.43072,1.05683,3.91850,1.23340,.13961,.72628,.25851,.23640,.46568,-.94148,.28119,.83843,-1.00155,-.83808,-.66737,-1.24102,1.25029,.08284,.06137,.06137,.01250,.04705,.08284,.06137,.01250,.04705,.32545,.03214,.02271,.02187,.00302,.01608,.22923,.02416,.00302,.00302,.00302,.01608,.22923,.02416,.02,.05,-.65,.85,.01,.01
107,2,1.00,17.63,7,55,45,2,2,.9000,.9000,.9000,.5000,.5714,.5714,.33,2063.0000,2063.00,2063.00,1306.0000,1306.00,1306.00,757.00,4.62500000,4.62500000,6.00000000,6.00000000,4.50000000,4.50000000,1.62500000,1.62500000,5.00000000,5.00000000,999.00,1306.00,1877.50,571.50,.18810,.04745,.69504,-.89041,-.17633,.72628,-.29723,-2.59988,.00292,9.68724,.37639,.18810,.04745,.69504,-.89041,-.17633,.72628,-.29723,-2.59988,.00292,.82380,-.97540,.83843,-1.13680,1.13680,.95911,1.17331,.83686,.06314,-1.40455,.66924,.33607,.23533,-1.58601,.85512,1884.30313,178.69687,1.76643,.35867,2294.97002,-988.97002,1.38514,-1.21673,4.81258,-.18758,.28971,-.23228,5.52914,.47086,-.92014,.87385,4.59724,-.09724,-.55221,-.14535,4.51562,-2.89062,-1.31394,-2.59798,4.95013,.04987,-.50826,.10743,.18810,.04745,.69504,-.89041,-.17633,.72628,-.29723,-2.59988,.00292,.82380,-.97540,.83843,-1.13680,1.13680,.95911,1.17331,,,,.18810,.04745,.69504,-.89041,-.17633,.72628,-.29723,-2.59988,.00292,.82380,-.97540,.83843,1.13680,1.17331,,.18810,.04745,.69504,-.89041,-.17633,.72628,-.29723,-2.59988,.00292,.82380,-.97540,.83843,1.13680,1.17331,,.02045,1.44625,,,,,,,,,,,,.01095,.06795,.01170,.01910,.00369,.04247,.01170,.01170,.01170,.01910,.00369,.04247,.02,.06,.42,.30,.00,.00
108,2,1.00,18.36,5,65,35,2,2,,,999.0000,,,999.0000,999.00,,,999.00,,,999.00,999.00,4.25000000,4.25000000,5.42857143,5.42857143,4.12500000,4.12500000,4.25000000,4.25000000,4.56521739,4.56521739,999.00,1645.50,2776.33,1130.83,,,,,-.65026,-.33497,-.85297,-.30904,-.92261,,,,,,,-.65026,-.33497,-.85297,-.30904,-.92261,.82380,-.69993,-.78061,-.58850,.58850,.95911,1.17331,.88332,,-.09580,,.43810,,-.78454,,1782.02548,,.47903,,2182.79554,,.75332,,4.82664,-.57664,.41832,-.71403,5.70353,-.27496,.73230,-.51029,4.89005,-.76505,.83809,-1.14357,4.75425,-.50425,.43878,-.45321,5.11093,-.54571,.76961,-1.17549,,,,,-.65026,-.33497,-.85297,-.30904,-.92261,.82380,-.69993,-.78061,-.58850,.58850,.95911,1.17331,,,,,,,,-.65026,-.33497,-.85297,-.30904,-.92261,.82380,-.69993,-.78061,.58850,1.17331,,,,,,-.65026,-.33497,-.85297,-.30904,-.92261,.82380,-.69993,-.78061,.58850,1.17331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2,2.00,23.66,7,50,50,2,2,.6957,.6957,.6957,.1250,.1250,.1250,.57,1635.0000,1635.00,1635.00,735.0000,735.00,735.00,900.00,4.50000000,4.50000000,6.57142857,6.57142857,4.25000000,4.25000000,6.25000000,6.25000000,5.04347826,5.04347826,406.00,999.00,999.00,999.00,-1.70733,-1.43668,-.19104,-1.60418,-.33431,1.78753,-.66772,1.43637,.09547,13.05922,.15995,-1.70733,-1.43668,-.19104,-1.60418,-.33431,1.78753,-.66772,1.43637,.09547,.82380,1.30005,.83843,-1.41094,1.41094,.95911,1.17331,.90158,-.20588,.41847,-2.18218,.59802,-.47302,.47157,-1.71881,1744.73012,-109.73012,.00958,-.22025,1916.41320,-1181.41320,-.74708,-1.45349,4.94173,-.44173,1.47171,-.54698,5.54569,1.02574,-.76339,1.90365,4.69363,-.44363,-.09457,-.66311,4.57205,1.67795,-.89952,1.50808,5.04218,.00130,.22331,.00279,-1.70733,-1.43668,-.19104,-1.60418,-.33431,1.78753,-.66772,1.43637,.09547,.82380,1.30005,.83843,-1.41094,1.41094,.95911,1.17331,1.08006,1.49281,1.34746,-1.70733,-1.43668,-.19104,-1.60418,-.33431,1.78753,-.66772,1.43637,.09547,.82380,1.30005,.83843,1.41094,1.17331,1.08006,-1.70733,-1.43668,-.19104,-1.60418,-.33431,1.78753,-.66772,1.43637,.09547,.82380,1.30005,.83843,1.41094,1.17331,1.08006,.84518,1.64359,.07304,.15723,.15723,.30875,.18562,.07304,.15723,.30875,.18562,.00006,.12448,.02632,.06114,.12425,.07708,.00149,.06473,.12425,.12425,.12425,.07708,.00149,.06473,.02,.05,-1.94,-1.68,.07,.05
111,2,2.00,21.30,7,55,45,2,2,1.0000,1.0000,1.0000,.0000,.0000,.0000,1.00,,,999.00,,,999.00,999.00,4.75000000,4.75000000,5.57142857,5.57142857,5.50000000,5.50000000,5.12500000,5.12500000,5.26086957,5.26086957,999.00,999.00,999.00,999.00,1.11587,-1.85227,,,-.01836,-.06966,1.18474,.45458,.55823,,,1.11587,-1.85227,,,-.01836,-.06966,1.18474,.45458,.55823,.82380,.40949,.83843,-1.13680,1.13680,.95911,1.17331,.87647,.12353,-.28884,1.30938,.50346,-.50346,-.27117,-1.82942,1793.56836,,.62432,,2058.51554,,.05331,,4.87569,-.12569,.86724,-.15563,5.53935,.03208,-.82347,.05954,4.64321,.85679,-.33397,1.28070,4.55620,.56880,-1.01590,.51122,4.99662,.26425,-.13875,.56920,1.11587,-1.85227,,,-.01836,-.06966,1.18474,.45458,.55823,.82380,.40949,.83843,-1.13680,1.13680,.95911,1.17331,,,,1.11587,-1.85227,,,-.01836,-.06966,1.18474,.45458,.55823,.82380,.40949,.83843,1.13680,1.17331,,1.11587,-1.85227,,,-.01836,-.06966,1.18474,.45458,.55823,.82380,.40949,.83843,1.13680,1.17331,,2.30764,,,,,,,,,,,,,.08754,,.02701,.05273,,,.02701,.02701,.02701,.05273,,,.02,.05,.92,-2.11,.02,.08
112,3,2.00,23.00,7,65,35,2,2,.8696,.8696,.8696,.2500,.2500,.2500,.62,1510.0000,1510.00,1510.00,1614.0000,1614.00,1614.00,-104.00,3.87500000,3.87500000,5.14285714,5.14285714,4.75000000,4.75000000,4.50000000,4.50000000,4.56521739,4.56521739,188.00,1313.00,1915.00,602.00,-.09394,-1.02110,-.44983,-.50540,-1.12418,-.86559,.07326,-.09086,-.92261,4.60692,.86714,-.09394,-1.02110,-.44983,-.50540,-1.12418,-.86559,.07326,-.09086,-.92261,2.58907,1.05100,.83843,-.58850,.58850,.95911,1.17331,.89553,-.02593,.24828,-.27490,.60717,-.35717,.54343,-1.29785,1732.52078,-222.52078,-.14411,-.44663,1929.08593,-315.08593,-.67570,-.38765,4.85398,-.97898,.66860,-1.21225,5.54451,-.40166,-.77450,-.74543,4.62277,.12723,-.43098,.19017,4.59549,-.09549,-.72730,-.08583,4.98684,-.42162,-.21649,-.90821,-.09394,-1.02110,-.44983,-.50540,-1.12418,-.86559,.07326,-.09086,-.92261,2.58907,1.05100,.83843,-.58850,.58850,.95911,1.17331,.31788,-.45066,-.07603,-.09394,-1.02110,-.44983,-.50540,-1.12418,-.86559,.07326,-.09086,-.92261,2.58907,1.05100,.83843,.58850,1.17331,.31788,-.09394,-1.02110,-.44983,-.50540,-1.12418,-.86559,.07326,-.09086,-.92261,2.58907,1.05100,.83843,.58850,1.17331,.31788,1.01177,.25809,.02431,.00171,.00171,.00489,.02637,.02431,.00171,.00489,.02637,.00252,.00531,.02195,.00024,.00107,.02384,.00322,.00243,.00107,.00107,.00107,.02384,.00322,.00243,.02,.05,-.30,-1.26,.00,.03
114,1,2.00,21.03,6,93,7,1,1,.9583,.9583,.9583,.6250,.6250,.6250,.33,1357.0000,1357.00,1357.00,1458.0000,1458.00,1458.00,-101.00,4.00000000,4.00000000,5.57142857,5.57142857,5.62500000,5.62500000,3.75000000,3.75000000,5.04347826,5.04347826,999.00,1451.00,1460.67,9.67,.72899,.22566,-.76659,-.70040,-.96621,-.06966,1.36998,-.74539,.09547,6.59475,.67923,.72899,.22566,-.76659,-.70040,-.96621,-.06966,1.36998,-.74539,.09547,-.94148,.30761,.02891,.94672,-.94672,-1.02526,-.83808,.89522,.06308,.23949,.66858,.61188,.01312,.58038,.04769,1695.36998,-338.36998,-.61174,-.67916,1977.66979,-519.66979,-.40205,-.63935,4.70371,-.70371,-.70674,-.87139,5.62623,-.05480,-.00017,-.10171,4.64397,.98103,-.33034,1.46641,4.73613,-.98613,.30568,-.88630,4.96562,.07786,-.38512,.16771,.72899,.22566,-.76659,-.70040,-.96621,-.06966,1.36998,-.74539,.09547,-.94148,.30761,.02891,.94672,-.94672,-1.02526,-.83808,,,,.72899,.22566,-.76659,-.70040,-.96621,-.06966,1.36998,-.74539,.09547,-.94148,.30761,.02891,-.94672,-.83808,,.72899,.22566,-.76659,-.70040,-.96621,-.06966,1.36998,-.74539,.09547,-.94148,.30761,.02891,-.94672,-.83808,,.03646,.26223,,,,,,,,,,,,.00037,.00065,.00467,.00002,.00522,.00462,.00467,.00467,.00467,.00002,.00522,.00462,.02,.05,.53,.01,.01,.00
115,3,1.00,19.83,5,98,2,1,1,1.0000,1.0000,1.0000,.8750,.8750,.8750,.13,1584.0000,1584.00,1584.00,1811.0000,1811.00,1811.00,-227.00,5.87500000,5.87500000,5.85714286,5.85714286,5.87500000,5.87500000,5.37500000,5.37500000,5.86956522,5.86956522,446.00,1763.67,1925.25,161.58,1.11587,1.05683,-.29663,-.25914,1.40341,.46097,1.74048,.67275,1.85397,5.10114,.82540,1.11587,1.05683,-.29663,-.25914,1.40341,.46097,1.74048,.67275,1.85397,2.58907,-.14522,-.78061,1.22087,-1.22087,-1.02526,-.83808,.90156,.09844,.41809,1.04338,.59151,.28349,.42042,1.03011,1682.92323,-98.92323,-.76841,-.19855,2022.41396,-211.41396,-.15003,-.26010,4.68383,1.19117,-.88871,1.47499,5.70907,.14807,.78482,.27480,4.77077,1.10423,.27174,1.65055,4.83815,.53685,1.05495,.48250,5.02619,.84337,.09625,1.81667,1.11587,1.05683,-.29663,-.25914,1.40341,.46097,1.74048,.67275,1.85397,2.58907,-.14522,-.78061,1.22087,-1.22087,-1.02526,-.83808,3.03199,,,1.11587,1.05683,-.29663,-.25914,1.40341,.46097,1.74048,.67275,1.85397,2.58907,-.14522,-.78061,-1.22087,-.83808,3.03199,1.11587,1.05683,-.29663,-.25914,1.40341,.46097,1.74048,.67275,1.85397,2.58907,-.14522,-.78061,-1.22087,-.83808,3.03199,-.67314,.08836,.15304,.02585,.02585,.21585,.03510,.15304,.02585,.21585,.03510,.03054,.07218,.00804,.00047,.01807,.01761,.00084,.00145,.01807,.01807,.01807,.01761,.00084,.00145,.02,.06,1.37,1.32,.04,.04
116,1,2.00,24.96,7,47,53,2,2,.7916,.7917,.7917,1.0000,1.0000,1.0000,-.21,1764.0000,1746.00,1746.00,1536.5000,1536.50,1536.50,209.50,5.37500000,5.37500000,4.57142857,4.57142857,5.62500000,5.62500000,5.12500000,5.12500000,5.21739130,5.21739130,999.00,1723.75,1439.75,-284.00,-.81667,1.47241,.03876,-.60228,.77151,-1.92685,1.36998,.45458,.46568,10.39455,.31950,-.81667,1.47241,.03876,-.60228,.77151,-1.92685,1.36998,.45458,.46568,-.94148,1.79062,.83843,-1.57543,1.57543,.95911,1.17331,.91539,-.12369,.80759,-1.31105,.64947,.35053,.87565,1.27372,1718.29509,27.70491,-.32317,.05561,1838.62557,-302.12557,-1.18522,-.37170,4.97936,.39564,1.81614,.48991,5.54917,-.97774,-.73040,-1.81457,4.72242,.90258,.04217,1.34913,4.58027,.54473,-.83911,.48958,5.06805,.14934,.42887,.32169,-.81667,1.47241,.03876,-.60228,.77151,-1.92685,1.36998,.45458,.46568,-.94148,1.79062,.83843,-1.57543,1.57543,.95911,1.17331,,,,-.81667,1.47241,.03876,-.60228,.77151,-1.92685,1.36998,.45458,.46568,-.94148,1.79062,.83843,1.57543,1.17331,,-.81667,1.47241,.03876,-.60228,.77151,-1.92685,1.36998,.45458,.46568,-.94148,1.79062,.83843,1.57543,1.17331,,-1.80856,.69072,,,,,,,,,,,,.12036,.00838,.06508,.06143,.00014,.00613,.06508,.06508,.06508,.06143,.00014,.00613,.02,.05,-1.04,1.28,.02,.03
117,1,1.00,19.93,2,92,8,1,1,.8235,.8235,.8235,.7100,.6667,.6667,.16,1550.0000,1550.00,1550.00,1654.0000,1654.00,1654.00,-104.00,3.50000000,3.50000000,6.28571429,6.28571429,5.37500000,5.37500000,4.50000000,4.50000000,5.00000000,5.00000000,999.00,757.00,1766.00,1009.00,-.52164,.36429,-.36702,-.45540,-1.59810,1.25691,.99949,-.09086,.00292,8.82431,.45365,-.52164,.36429,-.36702,-.45540,-1.59810,1.25691,.99949,-.09086,.00292,-.94148,-.10748,-3.20916,.89189,-.89189,-1.02526,-.83808,.95900,-.13550,2.03609,-1.43623,.64423,.02247,.83448,.08166,1594.04398,-44.04398,-1.88716,-.08840,1960.04970,-306.04970,-.50130,-.37653,4.79476,-1.29476,.12659,-1.60327,5.96696,.31875,3.22850,.59156,5.28514,.08986,2.71405,.13431,5.14205,-.64205,3.28708,-.57705,5.32056,-.32056,2.43556,-.69050,-.52164,.36429,-.36702,-.45540,-1.59810,1.25691,.99949,-.09086,.00292,-.94148,-.10748,-3.20916,.89189,-.89189,-1.02526,-.83808,,,,-.52164,.36429,-.36702,-.45540,-1.59810,1.25691,.99949,-.09086,.00292,-.94148,-.10748,-3.20916,-.89189,-.83808,,-.52164,.36429,-.36702,-.45540,-1.59810,1.25691,.99949,-.09086,.00292,-.94148,-.10748,-3.20916,-.89189,-.83808,,-.56481,.25809,,,,,,,,,,,,.03657,.02110,.21384,.00069,.00138,.02508,.21384,.21384,.21384,.00069,.00138,.02508,.02,.06,-.30,.62,.00,.01
119,1,2.00,21.83,5,85,15,1,1,.9583,.9583,.9583,1.0000,1.0000,1.0000,-.04,2319.5000,2319.50,2319.50,2463.0000,2463.00,2463.00,-143.50,4.75000000,4.75000000,5.28571429,5.28571429,3.87500000,3.87500000,5.12500000,5.12500000,4.60869565,4.60869565,69.00,2030.67,2565.67,535.00,.72899,1.47241,1.22608,.55588,-.01836,-.60028,-1.22346,.45458,-.83006,7.55417,.57962,.72899,1.47241,1.22608,.55588,-.01836,-.60028,-1.22346,.45458,-.83006,-.94148,.60949,-.78061,.50809,-.50809,-1.02526,-.83808,.92221,.03609,.99971,.38254,.64872,.35128,.86974,1.27646,1658.19968,661.30032,-1.07961,1.32733,1919.42629,543.57371,-.73011,.66876,4.78443,-.03443,.03204,-.04264,5.71406,-.42835,.83207,-.79496,4.85006,-.97506,.64822,-1.45748,4.83361,.29139,1.02166,.26189,5.09225,-.48355,.62118,-1.04160,.72899,1.47241,1.22608,.55588,-.01836,-.60028,-1.22346,.45458,-.83006,-.94148,.60949,-.78061,.50809,-.50809,-1.02526,-.83808,-.47218,,,.72899,1.47241,1.22608,.55588,-.01836,-.60028,-1.22346,.45458,-.83006,-.94148,.60949,-.78061,-.50809,-.83808,-.47218,.72899,1.47241,1.22608,.55588,-.01836,-.60028,-1.22346,.45458,-.83006,-.94148,.60949,-.78061,-.50809,-.83808,-.47218,-1.24102,.20359,.05514,.00167,.00167,.00598,.05519,.05514,.00167,.00598,.05519,.01597,.00274,.01760,.00036,.00183,.02042,.02625,.00666,.00183,.00183,.00183,.02042,.02625,.00666,.02,.05,.53,1.28,.01,.03
120,2,2.00,23.96,7,75,25,2,2,9545.0000,.9545,.9545,.7500,.7500,.7500,.20,1356.5000,1326.00,1326.00,1446.5000,1446.50,1446.50,-120.50,6.12500000,6.12500000,5.71428571,5.71428571,4.87500000,4.87500000,4.00000000,4.00000000,5.56521739,5.56521739,182.00,1713.33,1347.67,-365.66,.69374,.64124,-.83077,-.71478,1.71936,.19566,.25851,-.52721,1.20610,4.73834,.85650,.69374,.64124,-.83077,-.71478,1.71936,.19566,.25851,-.52721,1.20610,.82380,1.41326,.83843,-.04021,.04021,.95911,1.17331,.90662,.04788,.56043,.50755,.67713,.07287,1.09292,.26479,1689.76849,-363.76849,-.68225,-.73014,1847.33379,-400.83379,-1.13617,-.49314,4.81955,1.30545,.35350,1.61650,5.54762,.16666,-.74503,.30930,4.59307,.28193,-.57200,.42141,4.62660,-.62660,-.49880,-.56317,4.96768,.59753,-.36873,1.28712,.69374,.64124,-.83077,-.71478,1.71936,.19566,.25851,-.52721,1.20610,.82380,1.41326,.83843,-.04021,.04021,.95911,1.17331,.57814,,,.69374,.64124,-.83077,-.71478,1.71936,.19566,.25851,-.52721,1.20610,.82380,1.41326,.83843,.04021,1.17331,.57814,.69374,.64124,-.83077,-.71478,1.71936,.19566,.25851,-.52721,1.20610,.82380,1.41326,.83843,.04021,1.17331,.57814,-.40231,.23532,.00086,.00017,.00017,.00072,.00125,.00086,.00017,.00072,.00125,.01140,.00761,.00016,.00005,.00456,.00124,.01019,.00465,.00456,.00456,.00456,.00124,.01019,.00465,.02,.05,.50,.43,.00,.00
121,1,2.00,24.20,6,78,22,2,1,.8333,.8333,.8333,.7500,.7500,.7500,.08,1537.0000,1537.00,1537.00,1275.5000,1275.50,1275.50,261.50,4.75000000,4.75000000,4.71285714,4.71285714,4.50000000,4.50000000,5.37500000,5.37500000,4.65217391,4.65217391,999.00,1711.67,1198.00,-513.67,-.43072,.64124,-.39393,-.92854,-.01836,-1.66419,-.29723,.67275,-.73750,4.37546,.88501,-.43072,.64124,-.39393,-.92854,-.01836,-1.66419,-.29723,.67275,-.73750,-.94148,1.50383,.02891,.12428,-.12428,.95911,-.83808,.92835,-.09505,1.17274,-1.00750,.71721,.03279,1.40776,.11914,1645.52366,-108.52366,-1.23917,-.21782,1803.28024,-527.78024,-1.38430,-.64933,4.83462,-.08462,.49137,-.10478,5.63438,-.92153,.07706,-1.71024,4.74626,-.24626,.15534,-.36810,4.74044,.63456,.33730,.57032,5.05276,-.40059,.30739,-.86290,-.43072,.64124,-.39393,-.92854,-.01836,-1.66419,-.29723,.67275,-.73750,-.94148,1.50383,.02891,.12428,-.12428,.95911,-.83808,,,,-.43072,.64124,-.39393,-.92854,-.01836,-1.66419,-.29723,.67275,-.73750,-.94148,1.50383,.02891,-.12428,-.83808,,-.43072,.64124,-.39393,-.92854,-.01836,-1.66419,-.29723,.67275,-.73750,-.94148,1.50383,.02891,-.12428,-.83808,,-.81519,.76247,,,,,,,,,,,,.00391,.00522,.01720,.00024,.00081,.00721,.01720,.01720,.01720,.00024,.00081,.00721,.02,.05,-.65,.43,.01,.00
